title,status,type,tenure,land_title,price,built_up_size,bedroom,bathroom,car_park,category,city,state
Amverton Greens,Open for Sale,Apartment,Freehold,Residential,473499.0,953,3,2,2,House,Shah Alam,Selangor
Amverton Greens,Open for Sale,Apartment,Freehold,Residential,555579.0,1068,3,2,2,House,Shah Alam,Selangor
Amverton Greens,Open for Sale,Apartment,Freehold,Residential,582084.0,1180,4,4,2,House,Shah Alam,Selangor
JHomes,Open for Sale,Serviced Residence,Freehold,Residential,676800.0,1464,4,3,2,House,Kajang,Selangor
JHomes,Open for Sale,Serviced Residence,Freehold,Residential,678800.0,1464,4,3,2,House,Kajang,Selangor
JHomes,Open for Sale,Serviced Residence,Freehold,Residential,683800.0,1464,4,3,2,House,Kajang,Selangor
Summerwoods,New Launch,Bungalow,Freehold,Residential,4166800.0,5013,5,6,6,House,Kajang,Selangor
Summerwoods,New Launch,Bungalow,Freehold,Residential,3917800.0,5037,4,6,9,House,Kajang,Selangor
Summerwoods,New Launch,Bungalow,Freehold,Residential,4248800.0,5254,4,6,9,House,Kajang,Selangor
Maya Ara Residences,New Launch,Serviced Residence,Freehold,Commercial,594800.0,764,2,2,0,House,Ara Damansara,Selangor
Maya Ara Residences,New Launch,Serviced Residence,Freehold,Commercial,894800.0,1055,3,2,0,House,Ara Damansara,Selangor
Triara,New Launch,Condominium,Freehold,Residential,832000.0,1216,3,2,2,House,Petaling Jaya,Selangor
Triara,New Launch,Condominium,Freehold,Residential,1010080.0,1507,3,3,3,House,Petaling Jaya,Selangor
Triara,New Launch,Condominium,Freehold,Residential,1247800.0,1808,4,3,3,House,Petaling Jaya,Selangor
Suasana Ainsdale,Open for Registration,2-sty Terrace/Link House,Freehold,Residential,632888.0,1756,4,3,2,House,Labu,Negeri Sembilan
Suasana Ainsdale,Open for Registration,2-sty Terrace/Link House,Freehold,Residential,806888.0,1823,4,3,2,House,Labu,Negeri Sembilan
Suasana Ainsdale,Open for Registration,2-sty Terrace/Link House,Freehold,Residential,971888.0,2002,4,3,2,House,Labu,Negeri Sembilan
Casira 3,New Launch,2-sty Terrace/Link House,Freehold,Residential,793888.0,1700,4,3,2,House,Klang,Selangor
Casira 3,New Launch,2-sty Terrace/Link House,Freehold,Residential,1089888.0,2066,4,4,2,House,Klang,Selangor
Casira 3,New Launch,2-sty Terrace/Link House,Freehold,Residential,1255888.0,2066,4,4,2,House,Klang,Selangor
Pagoh Special Economic Z,Open for Sale,Industrial Land,Leasehold,Industrial,807087.0,3088,0,0,0,Land,Muar,Johor
Pagoh Special Economic Z,Open for Sale,Industrial Land,Leasehold,Industrial,1032370.0,3923,0,0,0,Land,Muar,Johor
Pagoh Special Economic Z,Open for Sale,Industrial Land,Leasehold,Industrial,1837454.0,7217,0,0,0,Land,Muar,Johor
