title,status,type,tenure,land_title,price,built_up_size,bedroom,bathroom,car_park,address,description,link
Amverton Greens,Open for Sale,Apartment,Freehold,Residential,473499.0,953 sq. ft.,3,2,2,"Kota Kemuning, Shah Alam, Selangor","Ready to Move In! Register today and save on Construction Interest!
* Terms and conditions apply

Amverton Greens is the latest addition to the list of recently completed properties in Kota Kemuning, Shah Alam back in 2021. Developed by HIL Industries Berhad, the condominium houses 280 units within three tower... are 5 layouts for buyers to choose from - Type A, B, C, D and E – with price ranging from RM499,000 to RM 945,888. The built-ups vary from 953 sf to 1,528 sf. Most units have 3 bedrooms; while the largest Type D unit has 4 bedrooms, 1 extra room and 5 bathrooms. It is also the only layout that has a dual-key feature!The facilities within Amverton Greens are centralized in a recreation podium. Swimming pools, a multi-purpose hall, a gymnasium, gardens, lounges and viewing decks would be the lifestyle amenities that residents can look forward to.

The condominium is also fortified with the 24-hour security system, where residents can live worry-free....ed close to the Bukit Rimau town centre, tenants can enjoy a wide variety of amenities nearby. Within walking distance to the Bukit Kemuning Golf & Country Resort, residents can enjoy the facilities offered as they will receive a complimentary Amverton Lifestyle Membership when they purchase a home in Amverton Green... BiG Hypermarket is located just a stone’s throw away from Amverton Greens.

Residents can do their shopping hassle-free, and within the area, commercial facilities are scattered around, mostly housing restaurants, cafes, clinics, mini-marts and convenience stores. Schools are also abundant within a small radius of the residence, such as Sekolah Kebangsaan Bukit Rimau, Sekolah Jenis Kebangsaan (Cina) Chung Hua Kota Kemuning, and Chinese Taipei School Kuala Lumpu...es having wide variety of amenities surrounding the residence, Amverton Greens also has great accessibility. The KESAS Highway is one of the main access points to the residence, along with the Kemuning-Shah Alam Highway. Residents can easily reach townships such as Klang, Subang Jaya, Petaling Jaya and Puchong via these routes.",https://www.iproperty.com.my/new-property/property/shah-alam/amverton-greens/new-6059/
Amverton Greens,Open for Sale,Apartment,Freehold,Residential,555579.0,"1,068 sq. ft.",3,2,2,"Kota Kemuning, Shah Alam, Selangor","Ready to Move In! Register today and save on Construction Interest!
* Terms and conditions apply

Amverton Greens is the latest addition to the list of recently completed properties in Kota Kemuning, Shah Alam back in 2021. Developed by HIL Industries Berhad, the condominium houses 280 units within three tower... are 5 layouts for buyers to choose from - Type A, B, C, D and E – with price ranging from RM499,000 to RM 945,888. The built-ups vary from 953 sf to 1,528 sf. Most units have 3 bedrooms; while the largest Type D unit has 4 bedrooms, 1 extra room and 5 bathrooms. It is also the only layout that has a dual-key feature!The facilities within Amverton Greens are centralized in a recreation podium. Swimming pools, a multi-purpose hall, a gymnasium, gardens, lounges and viewing decks would be the lifestyle amenities that residents can look forward to.

The condominium is also fortified with the 24-hour security system, where residents can live worry-free....ed close to the Bukit Rimau town centre, tenants can enjoy a wide variety of amenities nearby. Within walking distance to the Bukit Kemuning Golf & Country Resort, residents can enjoy the facilities offered as they will receive a complimentary Amverton Lifestyle Membership when they purchase a home in Amverton Green... BiG Hypermarket is located just a stone’s throw away from Amverton Greens.

Residents can do their shopping hassle-free, and within the area, commercial facilities are scattered around, mostly housing restaurants, cafes, clinics, mini-marts and convenience stores. Schools are also abundant within a small radius of the residence, such as Sekolah Kebangsaan Bukit Rimau, Sekolah Jenis Kebangsaan (Cina) Chung Hua Kota Kemuning, and Chinese Taipei School Kuala Lumpu...es having wide variety of amenities surrounding the residence, Amverton Greens also has great accessibility. The KESAS Highway is one of the main access points to the residence, along with the Kemuning-Shah Alam Highway. Residents can easily reach townships such as Klang, Subang Jaya, Petaling Jaya and Puchong via these routes.",https://www.iproperty.com.my/new-property/property/shah-alam/amverton-greens/new-6059/
Amverton Greens,Open for Sale,Apartment,Freehold,Residential,582084.0,"1,180 sq. ft.",4,4,2,"Kota Kemuning, Shah Alam, Selangor","Ready to Move In! Register today and save on Construction Interest!
* Terms and conditions apply

Amverton Greens is the latest addition to the list of recently completed properties in Kota Kemuning, Shah Alam back in 2021. Developed by HIL Industries Berhad, the condominium houses 280 units within three tower... are 5 layouts for buyers to choose from - Type A, B, C, D and E – with price ranging from RM499,000 to RM 945,888. The built-ups vary from 953 sf to 1,528 sf. Most units have 3 bedrooms; while the largest Type D unit has 4 bedrooms, 1 extra room and 5 bathrooms. It is also the only layout that has a dual-key feature!The facilities within Amverton Greens are centralized in a recreation podium. Swimming pools, a multi-purpose hall, a gymnasium, gardens, lounges and viewing decks would be the lifestyle amenities that residents can look forward to.

The condominium is also fortified with the 24-hour security system, where residents can live worry-free....ed close to the Bukit Rimau town centre, tenants can enjoy a wide variety of amenities nearby. Within walking distance to the Bukit Kemuning Golf & Country Resort, residents can enjoy the facilities offered as they will receive a complimentary Amverton Lifestyle Membership when they purchase a home in Amverton Green... BiG Hypermarket is located just a stone’s throw away from Amverton Greens.

Residents can do their shopping hassle-free, and within the area, commercial facilities are scattered around, mostly housing restaurants, cafes, clinics, mini-marts and convenience stores. Schools are also abundant within a small radius of the residence, such as Sekolah Kebangsaan Bukit Rimau, Sekolah Jenis Kebangsaan (Cina) Chung Hua Kota Kemuning, and Chinese Taipei School Kuala Lumpu...es having wide variety of amenities surrounding the residence, Amverton Greens also has great accessibility. The KESAS Highway is one of the main access points to the residence, along with the Kemuning-Shah Alam Highway. Residents can easily reach townships such as Klang, Subang Jaya, Petaling Jaya and Puchong via these routes.",https://www.iproperty.com.my/new-property/property/shah-alam/amverton-greens/new-6059/
JHomes,Open for Sale,Serviced Residence,Freehold,Residential,676800.0,1464,4,3,2,"Kajang, Selangor","Nestled amidst lush hills, JHomes is a low-density service residence that offer contemporary living in an idyllic verdant setting. With spacious open plan layouts, JHomes is designed with family living in mind. Set within the award-winning township of Jade Hills and built to world-class CONQUAS quality, JHomes is the perfect choice for those seeking a private haven in a community that is embraced by nature's serenity.",https://www.iproperty.com.my/new-property/property/kajang/j-homes/new-6647/
JHomes,Open for Sale,Serviced Residence,Freehold,Residential,678800.0,1464,4,3,2,"Kajang, Selangor","Nestled amidst lush hills, JHomes is a low-density service residence that offer contemporary living in an idyllic verdant setting. With spacious open plan layouts, JHomes is designed with family living in mind. Set within the award-winning township of Jade Hills and built to world-class CONQUAS quality, JHomes is the perfect choice for those seeking a private haven in a community that is embraced by nature's serenity.",https://www.iproperty.com.my/new-property/property/kajang/j-homes/new-6647/
JHomes,Open for Sale,Serviced Residence,Freehold,Residential,683800.0,1464,4,3,2,"Kajang, Selangor","Nestled amidst lush hills, JHomes is a low-density service residence that offer contemporary living in an idyllic verdant setting. With spacious open plan layouts, JHomes is designed with family living in mind. Set within the award-winning township of Jade Hills and built to world-class CONQUAS quality, JHomes is the perfect choice for those seeking a private haven in a community that is embraced by nature's serenity.",https://www.iproperty.com.my/new-property/property/kajang/j-homes/new-6647/
Summerwoods,New Launch,Bungalow,Freehold,Residential,4166800.0,5013 sq.ft.,5,6,6,"Jade Hills, Kajang, Selangor","Amidst the calm of summer’s breeze is where bliss and tranquility await to entice you home. Welcome to Summerwoods, a home awakens to nature’s resplendence. Inspired by what truly lives and sustains, this exclusive residential enclave that consists of 19 units low density bungalow homes is the epitome of timeless living well-crafted for generations to come.",https://www.iproperty.com.my/new-property/property/kajang/summerwoods/new-6644/
Summerwoods,New Launch,Bungalow,Freehold,Residential,3917800.0,5037 sq.ft.,4,6,9,"Jade Hills, Kajang, Selangor","Amidst the calm of summer’s breeze is where bliss and tranquility await to entice you home. Welcome to Summerwoods, a home awakens to nature’s resplendence. Inspired by what truly lives and sustains, this exclusive residential enclave that consists of 19 units low density bungalow homes is the epitome of timeless living well-crafted for generations to come.",https://www.iproperty.com.my/new-property/property/kajang/summerwoods/new-6644/
Summerwoods,New Launch,Bungalow,Freehold,Residential,4248800.0,5254 sq.ft.,4,6,9,"Jade Hills, Kajang, Selangor","Amidst the calm of summer’s breeze is where bliss and tranquility await to entice you home. Welcome to Summerwoods, a home awakens to nature’s resplendence. Inspired by what truly lives and sustains, this exclusive residential enclave that consists of 19 units low density bungalow homes is the epitome of timeless living well-crafted for generations to come.",https://www.iproperty.com.my/new-property/property/kajang/summerwoods/new-6644/
Maya Ara Residences,New Launch,Serviced Residence,Freehold,Commercial,594800.0,764,2,2,0,"Ara Damansara, Ara Damansara, Selangor","Own your first dream home at Maya Ara Residences, meticulously designed with an equal focus between stylish residences and social spaces. Indulge in the freedom of choice and express yourself with 4 different interior styles to choose from our customisable fully furnished package. Part gathering space, part workspace, part decompression zone, come home to a new vertical community where life is all about you and everything that you wish for at Maya Ara Residences.",https://www.iproperty.com.my/new-property/property/ara-damansara/ara-damansara-maya-ara-residences/new-6393/
Maya Ara Residences,New Launch,Serviced Residence,Freehold,Commercial,594800.0,764,2,2,0,"Ara Damansara, Ara Damansara, Selangor","Own your first dream home at Maya Ara Residences, meticulously designed with an equal focus between stylish residences and social spaces. Indulge in the freedom of choice and express yourself with 4 different interior styles to choose from our customisable fully furnished package. Part gathering space, part workspace, part decompression zone, come home to a new vertical community where life is all about you and everything that you wish for at Maya Ara Residences.",https://www.iproperty.com.my/new-property/property/ara-damansara/ara-damansara-maya-ara-residences/new-6393/
Maya Ara Residences,New Launch,Serviced Residence,Freehold,Commercial,894800.0,1055,3,2,0,"Ara Damansara, Ara Damansara, Selangor","Own your first dream home at Maya Ara Residences, meticulously designed with an equal focus between stylish residences and social spaces. Indulge in the freedom of choice and express yourself with 4 different interior styles to choose from our customisable fully furnished package. Part gathering space, part workspace, part decompression zone, come home to a new vertical community where life is all about you and everything that you wish for at Maya Ara Residences.",https://www.iproperty.com.my/new-property/property/ara-damansara/ara-damansara-maya-ara-residences/new-6393/
Triara,New Launch,Condominium,Freehold,Residential,832000.0,1216,3,2,2,"Ara Damansara, Petaling Jaya, Selangor","A freehold condominium launch is in the making at the established township of Ara Damansara.

The rare piece of residential title high rise in this neighbourhood, this low density development spans 5.62 acres with an array of built-ups from 1,216 sf. Mixing lively pursuits with generous living spaces and thoughtful amenity, it is the perfect setting to go about your day. Imbued with a lush nature and light footprint, you will find a unit made to suit your lifestyle. Simply step in and stand out in these homes that can be made by you.

Its wide selection of 3 to 4-bedroom residences come with the flexibility of customisable walls*, convertible living spaces and can even be combined. Just outside your door, multi-gen facilities and community spaces that are made to suit all ages charmingly unfold across 1.87 acres dotted with landscaped greens and biophilic environs. You may want to stay in and never leave home with more than 20 lifestyle amenities including a first-of-its-kind Aqua Pool Ramp, forest nooks, bioswale and diverse community spaces like the co-working garden.

If you must head out, this well-placed and well-connected residences is made better by direct access to three major highways, linked pedestrian networks and two LRT stations. Close to home are international grocers, malls, cafes and eateries, educational and medical institutions. The nearby Subang Airport will get you places across Malaysia.

Make it yours.

*T&C Applies.",https://www.iproperty.com.my/new-property/property/petaling-jaya/ara-damansara-triara/new-6583/
Triara,New Launch,Condominium,Freehold,Residential,1010080.0,1507,3,3,3,"Ara Damansara, Petaling Jaya, Selangor","A freehold condominium launch is in the making at the established township of Ara Damansara.

The rare piece of residential title high rise in this neighbourhood, this low density development spans 5.62 acres with an array of built-ups from 1,216 sf. Mixing lively pursuits with generous living spaces and thoughtful amenity, it is the perfect setting to go about your day. Imbued with a lush nature and light footprint, you will find a unit made to suit your lifestyle. Simply step in and stand out in these homes that can be made by you.

Its wide selection of 3 to 4-bedroom residences come with the flexibility of customisable walls*, convertible living spaces and can even be combined. Just outside your door, multi-gen facilities and community spaces that are made to suit all ages charmingly unfold across 1.87 acres dotted with landscaped greens and biophilic environs. You may want to stay in and never leave home with more than 20 lifestyle amenities including a first-of-its-kind Aqua Pool Ramp, forest nooks, bioswale and diverse community spaces like the co-working garden.

If you must head out, this well-placed and well-connected residences is made better by direct access to three major highways, linked pedestrian networks and two LRT stations. Close to home are international grocers, malls, cafes and eateries, educational and medical institutions. The nearby Subang Airport will get you places across Malaysia.

Make it yours.

*T&C Applies.",https://www.iproperty.com.my/new-property/property/petaling-jaya/ara-damansara-triara/new-6583/
