title,type,tenure,price,square_feet,price_per_square_feet,bedroom,bathroom,furnishing,launched_in,address,developer,description,project_link,image_link
Pinnacle SJ,Soho,Freehold,461800.50,525,879.62,2,2,Unfurnished,2023,"Jalan Ss 16/1, Subang Jaya, Mukim Damansara, Subang Jaya, Selangor",Pinnacle Homes Sdn Bhd,"Pinnacle SJ is a freehold SOHO (Small Office/Home Office) development located in the heart of SS16, Subang Jaya, a convenient and mature township. This prime location offers modern living and easy access to various amenities, including shopping centers, educational institutions, public transportation, medical facilities, commercial areas, and entertainment options. Notably, residents can access Subang Parade for daily necessities and retail shopping via the connected link bridge.As part of a Transit Oriented Development (TOD), Pinnacle SJ is excellently connected to the LRT Subang Jaya (Kelana Jaya Line) and KTM Subang Jaya (Port Klang Line) stations, both just 180 meters away with a link bridge from Pinnacle SJ. The KTM Subang Skypark Terminal Line provides quick access to Subang Airport (Terminal Skypark), only one station away. Additionally, the location offers easy access to major highways like the Federal Highway, NPE, LDP, KESAS, and Jalan Lapangan Terbang Subang.Pinnacle SJ offers 2-bedroom units with 2 En-Suite bathrooms, with sizes ranging from 525 to 1,118 sq. ft. The development boasts over 40 luxury lifestyle amenities, including an infinity swimming pool, gymnasium, hydro gym, Jacuzzi, wading pool, sauna, multipurpose hall, co-working space, games room, yoga/dance room, hot pot area, indoor lounge, KTV rooms, BBQ pit, and a jogging track, among others.The strategic location, connectivity, and abundance of amenities surrounding Pinnacle SJ make it an attractive option for homebuyers and investors. At Pinnacle SJ, we offer a low entry point to own a home with practical and functional layouts. Whether you're looking for your first home or are an investor seeking high-yield, high-return opportunities, Pinnacle SJ has something to offer",https://www.propertyguru.com.my/property-listing/project/pinnacle-sj-for-sale-by-pinnacle-homes-sdn-bhd-39482719,https://my1-cdn.pgimgs.com/project-listing-project/39482719/PLPHO.227248119.V550/Pinnacle-SJ-Subang-Jaya-Malaysia.jpg
Pinnacle SJ,Soho,Freehold,476800.50,550,866.91,2,2,Unfurnished,2023,"Jalan Ss 16/1, Subang Jaya, Mukim Damansara, Subang Jaya, Selangor",Pinnacle Homes Sdn Bhd,"Pinnacle SJ is a freehold SOHO (Small Office/Home Office) development located in the heart of SS16, Subang Jaya, a convenient and mature township. This prime location offers modern living and easy access to various amenities, including shopping centers, educational institutions, public transportation, medical facilities, commercial areas, and entertainment options. Notably, residents can access Subang Parade for daily necessities and retail shopping via the connected link bridge.As part of a Transit Oriented Development (TOD), Pinnacle SJ is excellently connected to the LRT Subang Jaya (Kelana Jaya Line) and KTM Subang Jaya (Port Klang Line) stations, both just 180 meters away with a link bridge from Pinnacle SJ. The KTM Subang Skypark Terminal Line provides quick access to Subang Airport (Terminal Skypark), only one station away. Additionally, the location offers easy access to major highways like the Federal Highway, NPE, LDP, KESAS, and Jalan Lapangan Terbang Subang.Pinnacle SJ offers 2-bedroom units with 2 En-Suite bathrooms, with sizes ranging from 525 to 1,118 sq. ft. The development boasts over 40 luxury lifestyle amenities, including an infinity swimming pool, gymnasium, hydro gym, Jacuzzi, wading pool, sauna, multipurpose hall, co-working space, games room, yoga/dance room, hot pot area, indoor lounge, KTV rooms, BBQ pit, and a jogging track, among others.The strategic location, connectivity, and abundance of amenities surrounding Pinnacle SJ make it an attractive option for homebuyers and investors. At Pinnacle SJ, we offer a low entry point to own a home with practical and functional layouts. Whether you're looking for your first home or are an investor seeking high-yield, high-return opportunities, Pinnacle SJ has something to offer",https://www.propertyguru.com.my/property-listing/project/pinnacle-sj-for-sale-by-pinnacle-homes-sdn-bhd-39482719,https://my1-cdn.pgimgs.com/project-listing-project/39482719/PLPHO.227248119.V550/Pinnacle-SJ-Subang-Jaya-Malaysia.jpg
Pinnacle SJ,Soho,Freehold,566797.80,620,914.19,2,2,Unfurnished,2023,"Jalan Ss 16/1, Subang Jaya, Mukim Damansara, Subang Jaya, Selangor",Pinnacle Homes Sdn Bhd,"Pinnacle SJ is a freehold SOHO (Small Office/Home Office) development located in the heart of SS16, Subang Jaya, a convenient and mature township. This prime location offers modern living and easy access to various amenities, including shopping centers, educational institutions, public transportation, medical facilities, commercial areas, and entertainment options. Notably, residents can access Subang Parade for daily necessities and retail shopping via the connected link bridge.As part of a Transit Oriented Development (TOD), Pinnacle SJ is excellently connected to the LRT Subang Jaya (Kelana Jaya Line) and KTM Subang Jaya (Port Klang Line) stations, both just 180 meters away with a link bridge from Pinnacle SJ. The KTM Subang Skypark Terminal Line provides quick access to Subang Airport (Terminal Skypark), only one station away. Additionally, the location offers easy access to major highways like the Federal Highway, NPE, LDP, KESAS, and Jalan Lapangan Terbang Subang.Pinnacle SJ offers 2-bedroom units with 2 En-Suite bathrooms, with sizes ranging from 525 to 1,118 sq. ft. The development boasts over 40 luxury lifestyle amenities, including an infinity swimming pool, gymnasium, hydro gym, Jacuzzi, wading pool, sauna, multipurpose hall, co-working space, games room, yoga/dance room, hot pot area, indoor lounge, KTV rooms, BBQ pit, and a jogging track, among others.The strategic location, connectivity, and abundance of amenities surrounding Pinnacle SJ make it an attractive option for homebuyers and investors. At Pinnacle SJ, we offer a low entry point to own a home with practical and functional layouts. Whether you're looking for your first home or are an investor seeking high-yield, high-return opportunities, Pinnacle SJ has something to offer",https://www.propertyguru.com.my/property-listing/project/pinnacle-sj-for-sale-by-pinnacle-homes-sdn-bhd-39482719,https://my1-cdn.pgimgs.com/project-listing-project/39482719/PLPHO.227248119.V550/Pinnacle-SJ-Subang-Jaya-Malaysia.jpg
Ponderosa Vista 2-Storey Semi-Detached,Semi-Detached House,Freehold,1888008.93,3573,528.41,4,4,Unfurnished,2023,"Taman Ponderosa, Johor Bahru, Johor",Pandan Baru Sdn Bhd,"Discover Urban Connectivity and Convenience at Ponderosa Vista. Located at a premier location, Ponderosa Vista stands as a catalyst of urban connectivity. With its strategic positioning, everything you need is within easy reach. From bustling city centers to essential services, indulge in a lifestyle where convenience is at your doorstep.",https://www.propertyguru.com.my/property-listing/project/ponderosa-vista-2-storey-semi-detached-for-sale-by-pandan-baru-sdn-bhd-38285089,https://my1-cdn.pgimgs.com/project-listing-project/38285089/PLPHO.215481037.V550/Ponderosa-Vista-2-Storey-Semi-Detached-Johor-Bahru-Malaysia.jpg
Ponderosa Vista 2-Storey Semi-Detached,Semi-Detached House,Freehold,1888016.90,3590,525.91,4,4,Unfurnished,2023,"Taman Ponderosa, Johor Bahru, Johor",Pandan Baru Sdn Bhd,"Discover Urban Connectivity and Convenience at Ponderosa Vista. Located at a premier location, Ponderosa Vista stands as a catalyst of urban connectivity. With its strategic positioning, everything you need is within easy reach. From bustling city centers to essential services, indulge in a lifestyle where convenience is at your doorstep.",https://www.propertyguru.com.my/property-listing/project/ponderosa-vista-2-storey-semi-detached-for-sale-by-pandan-baru-sdn-bhd-38285089,https://my1-cdn.pgimgs.com/project-listing-project/38285089/PLPHO.215481037.V550/Ponderosa-Vista-2-Storey-Semi-Detached-Johor-Bahru-Malaysia.jpg
Ponderosa Vista 2-Storey Semi-Detached,Semi-Detached House,Freehold,1799986.74,3603,499.58,4,4,Unfurnished,2023,"Taman Ponderosa, Johor Bahru, Johor",Pandan Baru Sdn Bhd,"Discover Urban Connectivity and Convenience at Ponderosa Vista. Located at a premier location, Ponderosa Vista stands as a catalyst of urban connectivity. With its strategic positioning, everything you need is within easy reach. From bustling city centers to essential services, indulge in a lifestyle where convenience is at your doorstep.",https://www.propertyguru.com.my/property-listing/project/ponderosa-vista-2-storey-semi-detached-for-sale-by-pandan-baru-sdn-bhd-38285089,https://my1-cdn.pgimgs.com/project-listing-project/38285089/PLPHO.215481037.V550/Ponderosa-Vista-2-Storey-Semi-Detached-Johor-Bahru-Malaysia.jpg
Ponderosa Vista 2-Storey Semi-Detached,Semi-Detached House,Freehold,1799986.74,3603,499.58,4,4,Unfurnished,2023,"Taman Ponderosa, Johor Bahru, Johor",Pandan Baru Sdn Bhd,"Discover Urban Connectivity and Convenience at Ponderosa Vista. Located at a premier location, Ponderosa Vista stands as a catalyst of urban connectivity. With its strategic positioning, everything you need is within easy reach. From bustling city centers to essential services, indulge in a lifestyle where convenience is at your doorstep.",https://www.propertyguru.com.my/property-listing/project/ponderosa-vista-2-storey-semi-detached-for-sale-by-pandan-baru-sdn-bhd-38285089,https://my1-cdn.pgimgs.com/project-listing-project/38285089/PLPHO.215481037.V550/Ponderosa-Vista-2-Storey-Semi-Detached-Johor-Bahru-Malaysia.jpg
Ponderosa Vista 2-Storey Semi-Detached,Semi-Detached House,Freehold,1800011.30,3847,467.9,4,4,Unfurnished,2023,"Taman Ponderosa, Johor Bahru, Johor",Pandan Baru Sdn Bhd,"Discover Urban Connectivity and Convenience at Ponderosa Vista. Located at a premier location, Ponderosa Vista stands as a catalyst of urban connectivity. With its strategic positioning, everything you need is within easy reach. From bustling city centers to essential services, indulge in a lifestyle where convenience is at your doorstep.",https://www.propertyguru.com.my/property-listing/project/ponderosa-vista-2-storey-semi-detached-for-sale-by-pandan-baru-sdn-bhd-38285089,https://my1-cdn.pgimgs.com/project-listing-project/38285089/PLPHO.215481037.V550/Ponderosa-Vista-2-Storey-Semi-Detached-Johor-Bahru-Malaysia.jpg
Ponderosa Vista 2-Storey Semi-Detached,Semi-Detached House,Freehold,1800015.48,3873,464.76,4,4,Unfurnished,2023,"Taman Ponderosa, Johor Bahru, Johor",Pandan Baru Sdn Bhd,"Discover Urban Connectivity and Convenience at Ponderosa Vista. Located at a premier location, Ponderosa Vista stands as a catalyst of urban connectivity. With its strategic positioning, everything you need is within easy reach. From bustling city centers to essential services, indulge in a lifestyle where convenience is at your doorstep.",https://www.propertyguru.com.my/property-listing/project/ponderosa-vista-2-storey-semi-detached-for-sale-by-pandan-baru-sdn-bhd-38285089,https://my1-cdn.pgimgs.com/project-listing-project/38285089/PLPHO.215481037.V550/Ponderosa-Vista-2-Storey-Semi-Detached-Johor-Bahru-Malaysia.jpg
Ponderosa Vista 2-Storey Semi-Detached,Semi-Detached House,Freehold,1988018.52,4164,477.43,4,4,Unfurnished,2023,"Taman Ponderosa, Johor Bahru, Johor",Pandan Baru Sdn Bhd,"Discover Urban Connectivity and Convenience at Ponderosa Vista. Located at a premier location, Ponderosa Vista stands as a catalyst of urban connectivity. With its strategic positioning, everything you need is within easy reach. From bustling city centers to essential services, indulge in a lifestyle where convenience is at your doorstep.",https://www.propertyguru.com.my/property-listing/project/ponderosa-vista-2-storey-semi-detached-for-sale-by-pandan-baru-sdn-bhd-38285089,https://my1-cdn.pgimgs.com/project-listing-project/38285089/PLPHO.215481037.V550/Ponderosa-Vista-2-Storey-Semi-Detached-Johor-Bahru-Malaysia.jpg
Ponderosa Vista 2-Storey Semi-Detached,Semi-Detached House,Freehold,1988017.62,4258,466.89,4,4,Unfurnished,2023,"Taman Ponderosa, Johor Bahru, Johor",Pandan Baru Sdn Bhd,"Discover Urban Connectivity and Convenience at Ponderosa Vista. Located at a premier location, Ponderosa Vista stands as a catalyst of urban connectivity. With its strategic positioning, everything you need is within easy reach. From bustling city centers to essential services, indulge in a lifestyle where convenience is at your doorstep.",https://www.propertyguru.com.my/property-listing/project/ponderosa-vista-2-storey-semi-detached-for-sale-by-pandan-baru-sdn-bhd-38285089,https://my1-cdn.pgimgs.com/project-listing-project/38285089/PLPHO.215481037.V550/Ponderosa-Vista-2-Storey-Semi-Detached-Johor-Bahru-Malaysia.jpg
Ferrous 2,2-storey Terraced House,Freehold,984219.00,1900,518.01,4,4,Unfurnished,2023,"Setia AlamImpian, Shah Alam, Selangor",I&P Alam Impian Sdn Bhd,"FERROUS 2 is surrounded by captivating industrial-themed landscapes that blend seamlessly with the environment, creating a unique and inspiring atmosphere. Designed with a keen eye for modern aesthetics, FERROUS 2 boasts sleek architectural lines that redefine contemporary living. The exteriors are a testament to innovation, while the interiors are thoughtfully crafted to maximize space and functionality.These 2-storey terrace homes are the maiden launch of the Industrial Arts Precinct and were planned to offer some exciting features:- Open layout concept - High ceilings for better ventilation - Tall windows for natural lighting - Setia iHome features that are inline with ESG efforts1.Green Switch–Environment friendly and energy saving2.Box 366–Mailbox cum parcel delivery compartmentOther features include:- Industrial Arts-themed landscapes- Modern and contemporary architecture- Quick access to latest retail hotspot–LakePoint Central- Short distance to upgraded park with scenic lake–LakePoint Park- Exclusive privilege to lifestyle facilities-LakePoint Club- Nearby amenities and conveniences - Well connected to major highways–KESAS, ELITE, NKVE and Federal Highway",https://www.propertyguru.com.my/property-listing/project/ferrous-2-for-sale-by-i-p-alam-impian-sdn-bhd-38327595,https://my1-cdn.pgimgs.com/project-listing-project/38327595/PLPHO.230840551.V550/Ferrous-2-Shah-Alam-Malaysia.jpg
